EMOTION AND GAZE REPORT #1
==================================================

EMOTIONAL TIMELINE:
21:13:34.110 (16.4s): sad (70.0%)
21:13:34.140 (16.5s): sad (70.0%)
21:13:34.176 (16.5s): sad (70.0%)
21:13:34.219 (16.5s): sad (70.0%)
21:13:34.257 (16.6s): sad (70.0%)
21:13:34.292 (16.6s): sad (70.0%)
21:13:34.324 (16.6s): sad (70.0%)
21:13:34.355 (16.7s): sad (70.0%)
21:13:34.388 (16.7s): sad (70.0%)
21:13:34.418 (16.7s): sad (70.0%)
21:13:34.447 (16.8s): sad (70.0%)
21:13:34.480 (16.8s): sad (70.0%)
21:13:34.512 (16.8s): sad (70.0%)
21:13:34.546 (16.9s): sad (70.0%)
21:13:34.577 (16.9s): sad (70.0%)
21:13:34.606 (16.9s): sad (70.0%)
21:13:34.636 (16.9s): sad (70.0%)
21:13:34.687 (17.0s): sad (70.0%)
21:13:34.717 (17.0s): sad (70.0%)
21:13:34.767 (17.1s): sad (70.0%)
21:13:34.792 (17.1s): sad (70.0%)
21:13:34.827 (17.1s): sad (70.0%)
21:13:34.856 (17.2s): sad (70.0%)
21:13:34.885 (17.2s): sad (70.0%)
21:13:34.916 (17.2s): sad (70.0%)
21:13:34.947 (17.3s): sad (70.0%)
21:13:34.979 (17.3s): sad (70.0%)
21:13:35.010 (17.3s): sad (70.0%)
21:13:35.042 (17.4s): sad (70.0%)
21:13:35.086 (17.4s): sad (70.0%)
21:13:35.121 (17.4s): sad (70.0%)
21:13:35.167 (17.5s): sad (70.0%)
21:13:35.199 (17.5s): sad (70.0%)
21:13:35.231 (17.5s): sad (70.0%)
21:13:35.262 (17.6s): sad (70.0%)
21:13:35.293 (17.6s): sad (70.0%)
21:13:35.326 (17.6s): sad (70.0%)
21:13:35.355 (17.7s): sad (70.0%)
21:13:35.386 (17.7s): sad (70.0%)
21:13:35.418 (17.7s): sad (70.0%)
21:13:35.448 (17.8s): sad (70.0%)
21:13:35.484 (17.8s): sad (70.0%)
21:13:35.522 (17.8s): sad (70.0%)
21:13:35.568 (17.9s): sad (70.0%)
21:13:35.591 (17.9s): sad (70.0%)
